# BasicDataInfo.txt

# These data were obtained with GetBasicDataInfo.py

# Data structure:
# Snapshot nMergersSnapshot tLbMin tLbMax zMin zMax

82 7.4488457000e+07 1.1676511649e-05 8.3665242015e+00 8.2303810488e+00 8.3735933676e+00
83 7.0886176000e+07 1.7374288623e-05 8.2231486479e+00 8.0838173660e+00 8.2302393798e+00
84 6.8026631000e+07 3.4161763482e-05 8.0765592433e+00 7.9340099320e+00 8.0836723605e+00
85 6.5407037000e+07 4.6554032895e-06 7.9267267636e+00 7.7809330433e+00 7.9337142634e+00
86 1.5809913000e+07 1.7582679228e-05 7.7736240830e+00 7.7421499000e+00 7.7807814386e+00
87 6.1575184000e+07 1.7454806950e-05 7.7343344086e+00 7.5849498535e+00 7.7419972355e+00
88 4.4593828000e+07 1.9469736756e-07 7.5776291317e+00 7.4648713502e+00 7.5847949171e+00
89 5.7455697000e+07 4.7965992440e-06 7.4575106254e+00 7.3018476377e+00 7.4645561706e+00
90 5.4711413000e+07 1.5362974710e-05 7.2944605164e+00 7.1354721071e+00 7.3016863818e+00
91 5.2775320000e+07 1.2459673919e-05 7.1280589420e+00 6.9657334820e+00 7.1351443061e+00
92 3.7727517000e+07 1.1358555064e-05 6.9583645627e+00 6.8362174443e+00 6.9653995123e+00
93 4.8494442000e+07 3.5264155862e-07 6.8282584358e+00 6.6605736664e+00 6.8358774477e+00
94 3.5077834000e+07 1.2721160010e-06 6.6532807387e+00 6.5266221798e+00 6.6602267125e+00
95 4.4519495000e+07 3.5118049269e-07 6.5191167531e+00 6.3450646800e+00 6.5262713130e+00
96 3.2390172000e+07 2.7889077319e-05 6.3370484931e+00 6.2066797718e+00 6.3447060965e+00
97 4.1015296000e+07 5.7132844065e-06 6.1991285330e+00 6.0192181742e+00 6.2063174509e+00
98 2.9620095000e+07 1.6507595060e-06 6.0116409881e+00 5.8764158107e+00 6.0190342589e+00
99 2.8356890000e+07 3.7097414927e-06 5.8689671999e+00 5.7317293258e+00 5.8760415047e+00
100 2.7530644000e+07 1.7703974131e-05 5.7248708829e+00 5.5851635277e+00 5.7313496156e+00
101 3.5058485000e+07 5.3456492326e-06 5.5775273673e+00 5.3868358173e+00 5.5847794853e+00
102 2.4986619000e+07 1.5022673161e-05 5.3791729529e+00 5.2359212861e+00 5.3864448553e+00
103 2.4022872000e+07 1.0174007839e-05 5.2282391284e+00 5.0831596763e+00 5.2355252582e+00
104 2.3211638000e+07 1.0987990624e-05 5.0757596491e+00 4.9285637431e+00 5.0829601529e+00
105 2.2230679000e+07 3.0743741934e-06 4.9216540291e+00 4.7721458929e+00 4.9281588848e+00
106 2.1397633000e+07 3.8433493934e-06 4.7644075733e+00 4.6139210715e+00 4.7717363086e+00
107 2.0366695000e+07 5.7251871732e-06 4.6061633728e+00 4.4539038532e+00 4.6135068823e+00
108 1.9650643000e+07 2.4720707552e-06 4.4461272785e+00 4.2921103531e+00 4.4534842253e+00
109 1.8510077000e+07 9.1087510290e-06 4.2843154183e+00 4.1285591486e+00 4.2916863750e+00
110 1.7909308000e+07 1.1114442838e-05 4.1210027571e+00 3.9632674359e+00 4.1281309508e+00
111 1.1313769000e+07 1.5247436217e-05 3.9554364286e+00 3.8521159045e+00 3.9628351516e+00
112 1.6556680000e+07 1.3567483226e-07 3.8442733612e+00 3.6839692898e+00 3.8516809709e+00
113 1.5754905000e+07 3.1637670035e-06 3.6763888844e+00 3.5141350572e+00 3.6835286139e+00
114 1.5017378000e+07 8.7161243334e-07 3.5062575376e+00 3.3426383800e+00 3.5136906695e+00
115 1.4253351000e+07 9.6781981984e-08 3.3347428490e+00 3.1694991830e+00 3.3424134672e+00
116 9.0448840000e+06 1.7706014614e-05 3.1618927048e+00 3.0531728096e+00 3.1690459410e+00
117 1.3156680000e+07 1.0691113017e-07 3.0461610099e+00 2.8773508812e+00 3.0527173696e+00
118 1.2342716000e+07 1.6367658828e-06 2.8694109331e+00 2.6999519402e+00 2.8768913452e+00
119 7.9742450000e+06 1.8386634626e-05 2.6919953315e+00 2.5808217549e+00 2.6994875491e+00
120 1.1241411000e+07 4.1700801390e-07 2.5727882142e+00 2.4008504174e+00 2.5803554374e+00
121 1.0593664000e+07 1.9353211029e-06 2.3930095366e+00 2.2193711782e+00 2.4003804271e+00
122 6.7543900000e+06 1.1253371492e-05 2.2123223759e+00 2.0975597034e+00 2.2188967733e+00
123 9.5285330000e+06 4.1670141886e-06 2.0895058050e+00 1.9136259080e+00 2.0970827504e+00
124 6.0847320000e+06 3.4526827557e-06 1.9051646440e+00 1.7902041611e+00 1.9131448257e+00
125 8.5050380000e+06 1.2527603572e-06 1.7823372840e+00 1.6038925588e+00 1.7897207184e+00
126 7.9269710000e+06 1.6476949851e-06 1.5962188807e+00 1.4161921142e+00 1.6034052741e+00
127 4.9085070000e+06 6.6883604766e-07 1.4086110942e+00 1.2903006688e+00 1.4157011614e+00
128 6.8328630000e+06 3.1208271116e-06 1.2820146567e+00 1.1003473799e+00 1.2898076582e+00
129 4.2526540000e+06 4.5312839401e-06 1.0922618734e+00 9.7298085436e-01 1.0998509891e+00
130 5.7244960000e+06 9.4732108768e-07 9.6588348110e-01 7.8085604721e-01 9.7248259390e-01
131 3.4423540000e+06 1.2917931004e-06 7.7295249413e-01 6.5206857405e-01 7.8035383790e-01
132 4.4906680000e+06 8.6207347361e-07 6.4395138297e-01 4.5785153767e-01 6.5156468652e-01
133 2.5289420000e+06 2.5363798990e-06 4.4972230987e-01 3.2769665954e-01 4.5734400380e-01
134 2.8101620000e+06 1.6247864374e-06 3.1957778578e-01 1.3146866208e-01 3.2718679731e-01
135 7.1603800000e+05 1.7984054042e-06 1.2331842108e-01 7.2033238735e-03 1.3044393602e-01

# Totals:
999 7.7220729360e+09 9.6781981984e-08 1.3581565412e+01 7.2033238735e-03 1.3592065412e+01

# Total run-time: 7.5649863793e+04 s
