# frequency, hf_mean, hf_min, hf_max
0.31632E-05 0.13521E-24 0.34856E-26 0.31117E-24
0.32369E-05 0.13730E-24 0.35395E-26 0.31599E-24
0.33123E-05 0.13942E-24 0.35943E-26 0.32088E-24
0.33895E-05 0.14158E-24 0.36499E-26 0.32584E-24
0.34684E-05 0.14377E-24 0.37064E-26 0.33088E-24
0.35493E-05 0.14600E-24 0.37637E-26 0.33600E-24
0.36320E-05 0.14826E-24 0.38219E-26 0.34120E-24
0.37166E-05 0.15055E-24 0.38811E-26 0.34648E-24
0.38032E-05 0.15288E-24 0.39411E-26 0.35184E-24
0.38918E-05 0.15525E-24 0.40021E-26 0.35729E-24
0.39825E-05 0.15765E-24 0.40640E-26 0.36282E-24
0.40753E-05 0.16009E-24 0.41269E-26 0.36843E-24
0.41702E-05 0.16256E-24 0.41908E-26 0.37413E-24
0.42674E-05 0.16508E-24 0.42556E-26 0.37992E-24
0.43668E-05 0.16763E-24 0.43215E-26 0.38580E-24
0.44686E-05 0.17023E-24 0.43884E-26 0.39177E-24
0.45727E-05 0.17286E-24 0.44563E-26 0.39783E-24
0.46792E-05 0.17554E-24 0.45252E-26 0.40399E-24
0.47882E-05 0.17825E-24 0.45952E-26 0.41024E-24
0.48998E-05 0.18101E-24 0.46663E-26 0.41659E-24
0.50140E-05 0.18381E-24 0.47385E-26 0.42303E-24
0.51308E-05 0.18666E-24 0.48119E-26 0.42958E-24
0.52504E-05 0.18954E-24 0.48863E-26 0.43623E-24
0.53727E-05 0.19248E-24 0.49619E-26 0.44298E-24
0.54979E-05 0.19546E-24 0.50387E-26 0.44983E-24
0.56260E-05 0.19848E-24 0.51167E-26 0.45679E-24
0.57571E-05 0.20155E-24 0.51959E-26 0.46386E-24
0.58912E-05 0.20467E-24 0.52763E-26 0.47104E-24
0.60285E-05 0.20784E-24 0.53579E-26 0.47832E-24
0.61689E-05 0.21105E-24 0.54408E-26 0.48573E-24
0.63127E-05 0.21432E-24 0.55250E-26 0.49324E-24
0.64597E-05 0.21763E-24 0.56105E-26 0.50087E-24
0.66103E-05 0.22100E-24 0.56973E-26 0.50862E-24
0.67643E-05 0.22442E-24 0.57855E-26 0.51650E-24
0.69219E-05 0.22789E-24 0.58750E-26 0.52449E-24
0.70832E-05 0.23142E-24 0.59659E-26 0.53260E-24
0.72482E-05 0.23500E-24 0.60582E-26 0.54084E-24
0.74171E-05 0.23864E-24 0.61519E-26 0.54921E-24
0.75899E-05 0.24233E-24 0.62471E-26 0.55771E-24
0.77667E-05 0.24608E-24 0.63438E-26 0.56634E-24
0.79477E-05 0.24989E-24 0.64420E-26 0.57510E-24
0.81329E-05 0.25376E-24 0.65416E-26 0.58400E-24
0.83224E-05 0.25768E-24 0.66429E-26 0.59304E-24
0.85163E-05 0.26167E-24 0.67457E-26 0.60222E-24
0.87147E-05 0.26572E-24 0.68500E-26 0.61154E-24
0.89178E-05 0.26983E-24 0.69560E-26 0.62100E-24
0.91256E-05 0.27400E-24 0.70637E-26 0.63061E-24
0.93382E-05 0.27824E-24 0.71730E-26 0.64036E-24
0.95558E-05 0.28255E-24 0.72840E-26 0.65027E-24
0.97784E-05 0.28692E-24 0.73967E-26 0.66034E-24
0.10006E-04 0.29136E-24 0.75111E-26 0.67055E-24
0.10239E-04 0.29587E-24 0.76273E-26 0.68093E-24
0.10478E-04 0.30045E-24 0.77454E-26 0.69147E-24
0.10722E-04 0.30510E-24 0.78652E-26 0.70217E-24
0.10972E-04 0.30982E-24 0.79869E-26 0.71303E-24
0.11228E-04 0.31461E-24 0.81105E-26 0.72406E-24
0.11489E-04 0.31948E-24 0.82360E-26 0.73527E-24
0.11757E-04 0.32442E-24 0.83634E-26 0.74664E-24
0.12031E-04 0.32944E-24 0.84929E-26 0.75820E-24
0.12311E-04 0.33454E-24 0.86243E-26 0.76993E-24
0.12598E-04 0.33972E-24 0.87577E-26 0.78184E-24
0.12892E-04 0.34498E-24 0.88932E-26 0.79394E-24
0.13192E-04 0.35031E-24 0.90309E-26 0.80623E-24
0.13499E-04 0.35573E-24 0.91706E-26 0.81870E-24
0.13814E-04 0.36124E-24 0.93125E-26 0.83137E-24
0.14136E-04 0.36683E-24 0.94566E-26 0.84423E-24
